group,method,comparison_count,mean_chamfer_distance,median_chamfer_distance,stdev_chamfer_distance,mean_hausdorff_95,median_hausdorff_95,stdev_hausdorff_95,mean_maximum_distance,median_maximum_distance,stdev_maximum_distance
overall,baseline,30,0.060779903021481396,0.05729932715604071,0.02616977037763517,0.21815854775828913,0.2268135051407621,0.07745693318349588,0.272442914664073,0.2599959220887659,0.07640034060011018
overall,ratio_80,30,0.05830112288699723,0.056145251089171816,0.032608594647343433,0.2211982319832927,0.2284763792358216,0.109639146432036,0.2729923152586222,0.2705475043685984,0.10948872865170527
overall,clahe_mild,30,0.05350983628440705,0.05241799021044101,0.023530152518233025,0.20338481206654407,0.20557719690760154,0.08681485742546192,0.2545232857027729,0.25346213779237786,0.08843415991007805
overall,sharpen_mild,30,0.055843959419446906,0.05661566229699627,0.027579508454026767,0.21251476468749914,0.22941042840510734,0.09504317321387369,0.26409539320516884,0.27600671175558134,0.0966977917204801
overall,clahe_sharpen_mild,30,0.056426507569881754,0.055995813736545,0.02684022927519661,0.2123571498966472,0.21177529862842137,0.09387610323665387,0.2640178974384575,0.2640610516549317,0.09619206905556706
mouse,baseline,10,0.06508517172406963,0.06507838903226117,0.022260655386026316,0.23767736534269082,0.2557421463752713,0.07222139044904972,0.2946989875892907,0.3131740323345177,0.08421141563412111
mouse,ratio_80,10,0.05221606565238503,0.052454451203258604,0.019468761318167112,0.21913365046597438,0.22884434703939838,0.09288918964355103,0.27092753246021056,0.27733764521394566,0.11167119259702174
mouse,clahe_mild,10,0.04882599933131683,0.04680959778655826,0.0186938335035391,0.1981259784418691,0.20557719690760154,0.08340861966996754,0.24482384131917745,0.25136411852379936,0.09795342463591533
mouse,sharpen_mild,10,0.050279096864301556,0.053486128250244055,0.017074547767272585,0.2129062727373258,0.23372846238509257,0.07907625851860282,0.26408375917085947,0.28704109903084846,0.09711127364438442
mouse,clahe_sharpen_mild,10,0.05459999968630917,0.049063351434267016,0.02234816259193784,0.20961751944047805,0.20726387552029585,0.08542412119583877,0.25668587798990944,0.2626028130780365,0.10009887766834545
bottle,baseline,10,0.06528274114386154,0.06856628739139062,0.03852318600584008,0.21797741108026245,0.23682234147251485,0.11022472070314679,0.2676623425417999,0.25482731615325627,0.09824248867297479
bottle,ratio_80,10,0.06900781367796595,0.062003125448508715,0.05158410840116828,0.22452292357622222,0.23060097560896953,0.1618470613862311,0.26651753787779103,0.25155628582100176,0.14783826598336813
bottle,clahe_mild,10,0.05624254081641726,0.06115067847398134,0.0338770503408266,0.17681191526832385,0.20675109639744302,0.10572663362285209,0.22039861377156234,0.23717074502532642,0.0888932623115637
bottle,sharpen_mild,10,0.06287139671006631,0.0624496133974623,0.04351821434685832,0.20000317464567,0.22314094609312451,0.1384202033550727,0.242305162561456,0.2474250024421802,0.1279604923916982
bottle,clahe_sharpen_mild,10,0.059230324966988414,0.06104703728534788,0.03976951912909755,0.19033558020062474,0.21122631825176627,0.12791491904606725,0.23612372035174367,0.24096697694317626,0.11808725639370087
shoe,baseline,10,0.05197179619651303,0.054256884354208675,0.009892530665123103,0.1988208668519142,0.19991711785237365,0.03358128493835015,0.2549674138611285,0.2535854528242045,0.033910354916203804
shoe,ratio_80,10,0.05367948933064073,0.05299819163184904,0.013930423461662471,0.21993812190768153,0.2160775829355948,0.06238468072972465,0.281531875437865,0.279201968257824,0.06456271237610335
shoe,clahe_mild,10,0.055460968705487036,0.05762669613252457,0.01581215948025634,0.23521654248943924,0.2329308313878282,0.06487711651139397,0.29834740201757887,0.2976393037338766,0.06457914431575858
shoe,sharpen_mild,10,0.054381384683972855,0.055508797437907764,0.013186507868784066,0.2246348466795017,0.2338586160289457,0.05793499875306314,0.285897257883191,0.2898358813844346,0.057175835167881106
shoe,clahe_sharpen_mild,10,0.05544919805634767,0.058119120623124375,0.015057362697170404,0.2371183500488387,0.23536060278402765,0.059233695027387526,0.29924409397371937,0.3003305041962752,0.059561131957244676
