object,baseline_mean_chamfer,final_proposed_mean_chamfer,chamfer_change_percent,baseline_mean_hausdorff_95,final_proposed_mean_hausdorff_95,hausdorff_change_percent,baseline_mean_maximum_distance,final_proposed_mean_maximum_distance,maximum_distance_change_percent,consistency_result
mouse,0.06508517172406963,0.05613531093069442,-13.75099820173848,0.23767736534269082,0.2161179510748404,-9.070873971009139,0.2946989875892907,0.2721591944471745,-7.648412139619877,Improved
bottle,0.06528274114386154,0.06795959639923435,4.100402661514948,0.21797741108026245,0.21939874349117647,0.6520549096670697,0.2676623425417999,0.26456082080041177,-1.15874415202944,Worsened
shoe,0.05197179619651303,0.05155835270874339,-0.7955151024727831,0.1988208668519142,0.20964973502896744,5.446545097863804,0.2549674138611285,0.2685224226246127,5.3163690834888895,Improved
