method,object,comparison_count,mean_chamfer,median_chamfer,stdev_chamfer,minimum_chamfer,maximum_chamfer,mean_hausdorff_95,mean_maximum_distance
baseline,mouse,10,0.06508517172406963,0.06507838903226117,0.022260655386026316,0.03739431840099363,0.0942387448690537,0.23767736534269082,0.2946989875892907
baseline,bottle,10,0.06528274114386154,0.06856628739139062,0.03852318600584008,0.02037332682259064,0.14272019551776974,0.21797741108026245,0.2676623425417999
baseline,shoe,10,0.05197179619651303,0.054256884354208675,0.009892530665123103,0.030275595295632514,0.0634485538724423,0.1988208668519142,0.2549674138611285
final_proposed,mouse,10,0.05613531093069442,0.056370046110728225,0.019464833865944935,0.02653291812840542,0.09669781198122705,0.2161179510748404,0.2721591944471745
final_proposed,bottle,10,0.06795959639923435,0.06457055169357595,0.046781644153752626,0.014947643669685078,0.16732005601022348,0.21939874349117647,0.26456082080041177
final_proposed,shoe,10,0.05155835270874339,0.05501211911764352,0.015211542214025089,0.028366265007061763,0.07090180675978647,0.20964973502896744,0.2685224226246127
