stage,from_method,to_method,group,metric,pair_count,from_mean,to_mean,mean_difference,mean_change_percent,improved_pairs,worsened_pairs,unchanged_pairs,wilcoxon_statistic,wilcoxon_p_value,exact_sign_test_p_value,rank_biserial_effect,effect_magnitude
Enhancement,nobg_crop_pad,final_proposed,mouse,maximum_distance,10,0.2979893740278189,0.2721591944471745,-0.025830179580644447,-8.668154582664075,5,5,0,23.0,0.6953125,1.0,0.16363636363636364,Small
Enhancement,nobg_crop_pad,final_proposed,bottle,chamfer_distance,10,0.06288201424276622,0.06795959639923435,0.005077582156468129,8.074776575803213,5,5,0,19.0,0.431640625,1.0,-0.3090909090909091,Moderate
Enhancement,nobg_crop_pad,final_proposed,bottle,hausdorff_95,10,0.21508971706456706,0.21939874349117647,0.004309026426609418,2.003362357539341,4,6,0,22.0,0.625,0.75390625,-0.2,Small
Enhancement,nobg_crop_pad,final_proposed,bottle,maximum_distance,10,0.2580699654304854,0.26456082080041177,0.006490855369926394,2.5151533457599444,1,9,0,10.0,0.083984375,0.021484375,-0.6363636363636364,Large
Enhancement,nobg_crop_pad,final_proposed,shoe,chamfer_distance,10,0.053758082261447106,0.05155835270874339,-0.002199729552703709,-4.091904807923666,6,4,0,20.0,0.4921875,0.75390625,0.2727272727272727,Small
Enhancement,nobg_crop_pad,final_proposed,shoe,hausdorff_95,10,0.22127417765549146,0.20964973502896744,-0.011624442626524017,-5.253411288063835,5,5,0,19.0,0.431640625,1.0,0.3090909090909091,Moderate
Enhancement,nobg_crop_pad,final_proposed,shoe,maximum_distance,10,0.2839336432749723,0.2685224226246127,-0.01541122065035963,-5.427754341684259,8,2,0,13.0,0.16015625,0.109375,0.5272727272727272,Large
Full pipeline,baseline,final_proposed,overall,chamfer_distance,30,0.060779903021481396,0.05855108667955738,-0.0022288163419240115,-3.667028460272945,17,13,0,200.0,0.5158484429121017,0.5846647117286922,0.13978494623655913,Small
Full pipeline,baseline,final_proposed,overall,hausdorff_95,30,0.21815854775828913,0.21505547653166138,-0.003103071226627722,-1.4223926857387386,13,17,0,228.0,0.935398668050766,0.5846647117286922,-0.01935483870967742,Negligible
Full pipeline,baseline,final_proposed,overall,maximum_distance,30,0.272442914664073,0.2684141459573996,-0.004028768706673378,-1.478757012874035,14,16,0,216.0,0.7456546742469072,0.8555355519056321,0.07096774193548387,Negligible
Full pipeline,baseline,final_proposed,mouse,chamfer_distance,10,0.06508517172406963,0.05613531093069442,-0.008949860793375217,-13.75099820173848,7,3,0,13.0,0.16015625,0.34375,0.5272727272727272,Large
Full pipeline,baseline,final_proposed,mouse,hausdorff_95,10,0.23767736534269082,0.2161179510748404,-0.021559414267850456,-9.070873971009139,6,4,0,15.0,0.232421875,0.75390625,0.45454545454545453,Moderate
Full pipeline,baseline,final_proposed,mouse,maximum_distance,10,0.2946989875892907,0.2721591944471745,-0.022539793142116186,-7.648412139619877,6,4,0,14.0,0.193359375,0.75390625,0.4909090909090909,Moderate
Full pipeline,baseline,final_proposed,bottle,chamfer_distance,10,0.06528274114386154,0.06795959639923435,0.0026768552553728168,4.100402661514948,6,4,0,22.0,0.625,0.75390625,-0.2,Small
Full pipeline,baseline,final_proposed,bottle,hausdorff_95,10,0.21797741108026245,0.21939874349117647,0.0014213324109140237,0.6520549096670697,5,5,0,26.0,0.921875,1.0,-0.05454545454545454,Negligible
Full pipeline,baseline,final_proposed,bottle,maximum_distance,10,0.2676623425417999,0.26456082080041177,-0.003101521741388125,-1.15874415202944,4,6,0,27.0,1.0,0.75390625,0.01818181818181818,Negligible
Full pipeline,baseline,final_proposed,shoe,chamfer_distance,10,0.05197179619651303,0.05155835270874339,-0.00041344348776963387,-0.7955151024727831,4,6,0,26.0,0.921875,0.75390625,-0.05454545454545454,Negligible
Full pipeline,baseline,final_proposed,shoe,hausdorff_95,10,0.1988208668519142,0.20964973502896744,0.010828868177053261,5.446545097863804,2,8,0,16.0,0.275390625,0.109375,-0.41818181818181815,Moderate
Full pipeline,baseline,final_proposed,shoe,maximum_distance,10,0.2549674138611285,0.2685224226246127,0.013555008763484176,5.3163690834888895,4,6,0,21.0,0.556640625,0.75390625,-0.23636363636363636,Small
