metric,paired_run_count,baseline_mean,corrected_proposed_mean,mean_difference,change_percent,proposed_faster_pairs,baseline_faster_pairs,tied_pairs,wilcoxon_statistic,wilcoxon_p_value
end_to_end_wall_seconds,45,21.63615002444458,23.845883648888858,2.2097336244442793,10.213155399402003,6,39,0,69.0,1.520453452030779e-08
external_preprocessing_seconds,45,0.0,6.579302442222252,6.579302442222252,nan,0,45,0,0.0,5.684341886080802e-14
triposr_subprocess_wall_seconds,45,21.635120906666472,17.264822013333145,-4.370298893333327,-20.200020661713513,45,0,0,0.0,5.684341886080802e-14
initialization_ms,45,5050.834666666667,5049.515333333334,-1.3193333333329065,-0.02612109523283227,20,25,0,457.0,0.5018889149602046
image_processing_ms,45,3710.3542222222222,13.970222222222224,-3696.384,-99.62348009420364,45,0,0,0.0,5.684341886080802e-14
model_inference_ms,45,3756.700222222223,3156.090444444444,-600.6097777777791,-15.987695111389453,45,0,0,0.0,5.684341886080802e-14
mesh_extraction_ms,45,1270.4748888888887,1355.3691111111114,84.89422222222265,6.682085806234869,8,37,0,135.0,4.043553758492635e-06
mesh_export_ms,45,4.290444444444444,3.8419999999999996,-0.4484444444444442,-10.452167607603457,18,19,8,341.5,0.8800703553768874
