group,method,run_count,successful_runs,mean_wall_clock_seconds,median_wall_clock_seconds,stdev_wall_clock_seconds,mean_initialization_ms,median_initialization_ms,stdev_initialization_ms,mean_image_processing_ms,median_image_processing_ms,stdev_image_processing_ms,mean_model_inference_ms,median_model_inference_ms,stdev_model_inference_ms,mean_mesh_extraction_ms,median_mesh_extraction_ms,stdev_mesh_extraction_ms,mean_mesh_export_ms,median_mesh_export_ms,stdev_mesh_export_ms
overall,baseline,45,45,23.005775613333288,20.596365300000798,5.175166717833751,6652.776,6071.64,2016.7798093071765,329.842,273.56,147.07752582474072,4311.345555555556,4026.36,771.2805085539584,1720.7204444444444,1692.6,220.8754638206331,5.196444444444444,5.2,1.4897836260763684
overall,corrected_proposed,45,45,24.119846415555507,23.447945199999594,2.407351971983046,6960.218222222222,6719.17,710.7669494550775,23.361333333333334,22.31,6.182839741795616,4247.335777777777,3971.09,609.2599410443075,1924.2153333333333,1854.84,222.85588318666638,6.5297777777777775,6.39,1.8801069709519782
mouse,baseline,15,15,21.62729639333326,19.42179159999978,6.9315116268936645,6509.276,5595.71,3121.465891078833,216.72533333333334,209.04,44.31800696051641,3886.0733333333333,3705.24,674.7789642718641,1635.9886666666666,1626.18,146.18377215324682,4.556666666666667,4.55,0.8966657815538205
mouse,corrected_proposed,15,15,22.953431419999713,22.363363200000094,1.74253337247086,6692.187333333333,6566.12,547.072709537729,20.974666666666668,21.67,4.614048217387953,3985.366,3915.89,370.31117541872806,1827.8666666666666,1819.65,183.3594158892259,5.834666666666666,5.55,1.7918102046600273
bottle,baseline,15,15,20.923471459999927,19.602659199999835,2.932809602031965,5967.89,5546.77,988.4604364580593,329.5386666666667,381.8,120.76429219568095,4028.865333333333,3908.11,538.9187542248258,1686.2433333333333,1670.77,258.2415674094611,5.052666666666667,5.26,1.797130517029327
bottle,corrected_proposed,15,15,25.23509648666677,25.64370020000024,2.8502227563634213,7075.537333333333,7098.82,859.4459505856638,26.881333333333334,25.97,6.507690907870544,4619.382666666666,4302.58,762.1325693029927,2020.62,1874.33,257.51337929180636,7.245333333333334,6.71,2.3336203224868886
shoe,baseline,15,15,26.466558986666676,26.35920679999981,2.830497301402687,7481.162,7416.61,895.9799756866381,443.262,491.62,154.74222990878366,5019.098,4999.32,554.8695112520987,1839.9293333333333,1774.98,202.67523305125607,5.9799999999999995,5.84,1.3502698143069671
shoe,corrected_proposed,15,15,24.171011340000042,23.689833700000236,2.064124765238098,7112.93,6865.17,658.4800286807705,22.228,20.17,5.97908401967105,4137.258666666667,3927.85,462.4135069682401,1924.1593333333333,1838.22,190.39834481073268,6.509333333333333,6.43,1.1774031150112076
