metric,paired_run_count,baseline_mean,corrected_proposed_mean,mean_difference,change_percent,proposed_faster_pairs,baseline_faster_pairs,tied_pairs,wilcoxon_statistic,wilcoxon_p_value
wall_clock_seconds,45,23.005775613333288,24.119846415555507,1.1140708022222192,4.842570061304715,15,30,0,295.0,0.01123500122673704
initialization_ms,45,6652.775999999998,6960.218222222223,307.4422222222247,4.62126219524338,12,33,0,258.0,0.002848973117636433
image_processing_ms,45,329.842,23.361333333333334,-306.48066666666665,-92.91741702592958,45,0,0,0.0,5.684341886080802e-14
model_inference_ms,45,4311.345555555556,4247.335777777778,-64.00977777777734,-1.4846821474399101,25,20,0,461.0,0.530900336768866
mesh_extraction_ms,45,1720.7204444444444,1924.2153333333333,203.4948888888889,11.826144656204727,11,34,0,169.0,3.6132389936938125e-05
mesh_export_ms,45,5.196444444444444,6.5297777777777775,1.333333333333333,25.658569962367423,10,35,0,171.0,4.066733583840687e-05
