group,method,run_count,successful_runs,mean_end_to_end_wall_seconds,median_end_to_end_wall_seconds,stdev_end_to_end_wall_seconds,mean_external_preprocessing_seconds,median_external_preprocessing_seconds,stdev_external_preprocessing_seconds,mean_triposr_subprocess_wall_seconds,median_triposr_subprocess_wall_seconds,stdev_triposr_subprocess_wall_seconds,mean_initialization_ms,median_initialization_ms,stdev_initialization_ms,mean_image_processing_ms,median_image_processing_ms,stdev_image_processing_ms,mean_model_inference_ms,median_model_inference_ms,stdev_model_inference_ms,mean_mesh_extraction_ms,median_mesh_extraction_ms,stdev_mesh_extraction_ms,mean_mesh_export_ms,median_mesh_export_ms,stdev_mesh_export_ms
overall,baseline,45,45,21.63615002444458,21.349230499999976,2.765516110473004,0.0,0.0,0.0,21.635120906666472,21.34832600000118,2.7653965129561793,5050.834666666667,4761.44,833.7988392690193,3710.3542222222222,3509.63,750.4158759359824,3756.7002222222222,3814.75,495.40304336005454,1270.474888888889,1225.74,140.345734747869,4.290444444444445,4.0,4.80434129226112
overall,corrected_proposed,45,45,23.845883648888858,23.4728185999993,2.421410810666581,6.579302442222252,6.1393551000001025,1.971932991715296,17.264822013333145,16.471895999999106,1.589523112816564,5049.515333333334,4750.98,553.0419601153079,13.970222222222223,15.87,6.673440740212751,3156.0904444444445,3046.78,285.2225444595497,1355.3691111111111,1322.18,120.41760807936501,3.842,4.0,3.872118048538575
mouse,baseline,15,15,23.489279333333375,21.72559419999925,3.9391322292646995,0.0,0.0,0.0,23.488140199999787,21.72430019999956,3.938953634582901,5638.630666666667,5167.32,1260.091029503519,3539.7233333333334,3338.05,595.4763263336415,4209.857333333333,4041.12,492.125412216768,1390.2046666666668,1387.25,176.49328327432858,5.102,4.58,3.687269992826671
mouse,corrected_proposed,15,15,24.12883428666646,23.16637459999947,3.113427962381931,5.397993219999868,5.393345299999055,1.2754204207065145,18.728895786666058,17.925578099999257,2.022689078488306,5563.485333333333,5308.11,692.0375346020585,16.498,15.81,3.996952767868471,3389.176,3217.42,404.2457335723267,1439.5546666666667,1360.97,172.93203263820425,4.806,4.57,1.2102998447846363
bottle,baseline,15,15,21.018966793333433,21.603330500000084,1.3180729602568126,0.0,0.0,0.0,21.01801799333322,21.602304699999877,1.3180670890267163,4819.459333333333,4779.3,174.2647509422155,3705.7400000000002,4178.49,754.0913759334096,3703.7746666666667,3850.51,349.47046946296723,1233.478,1220.53,63.90306411164604,3.6266666666666665,2.0,5.356489610965465
bottle,corrected_proposed,15,15,23.14342125999974,23.4728185999993,1.1629424709495282,6.397543933333387,6.938544100001309,0.8276975511529872,16.744230660000177,16.39210909999929,0.49342345442303603,4874.204,4749.55,196.14550090612394,11.664666666666667,15.76,7.282367027540532,3054.325333333333,3034.68,59.97252285918312,1306.7693333333334,1304.65,37.518699807403976,4.584666666666666,4.0,4.715880264241944
shoe,baseline,15,15,20.400203946666927,20.78272040000047,1.0288653179547709,0.0,0.0,0.0,20.399204526666413,20.781806700000743,1.028848425473307,4694.414,4685.94,55.9464639250264,3885.5993333333336,4237.7,884.5623534144415,3356.4686666666666,3353.23,111.21362756082597,1187.742,1171.24,50.117844583683805,4.142666666666667,2.0,5.3901198855825445
shoe,corrected_proposed,15,15,24.26539540000037,24.776600600000165,2.5648364047092316,7.942370173333499,8.526275800000803,2.527459508544442,16.321339593333203,16.256604000000152,0.25537896834991863,4710.856666666667,4684.65,70.89135245134598,13.748,16.0,7.639620596413336,3024.77,3020.35,29.729811877738413,1319.7833333333333,1313.48,52.71299523520425,2.1353333333333335,0.0,4.325512135932026
