group,stage,run_count,mean_seconds,median_seconds,stdev_seconds,minimum_seconds,maximum_seconds
overall,background_removal_seconds,45,2.0831114244444002,1.9713785999992979,0.4096544402316371,1.5316394999990735,3.215852700001051
overall,cropping_seconds,45,1.5033758466666365,1.277811699999802,0.5033488805544868,0.8147784000011598,2.842525599999135
overall,padding_seconds,45,1.4651416155555328,1.2543220999996265,0.5450497944980774,0.7052248999989388,2.842221900000368
overall,enhancement_seconds,45,0.4520731688888999,0.4117534000015439,0.16698607923580316,0.19495219999953406,0.8377163999994082
overall,triposr_ready_seconds,45,0.7890971022221897,0.6901127000000997,0.3556239269984402,0.2574081999991904,1.535520399998859
overall,total_preprocessing_seconds,45,6.292813122222328,5.633270300000731,1.9205453917874669,3.504013200001282,11.148117400000046
mouse,background_removal_seconds,15,1.8634815999997953,1.846716899999592,0.2213339387252367,1.5316394999990735,2.3031054999992193
mouse,cropping_seconds,15,1.1817647400001685,1.2109650000002148,0.2608008696452529,0.8147784000011598,1.6258235000004788
mouse,padding_seconds,15,1.0902807399997982,1.0993693000000349,0.2666527667115725,0.7052248999989388,1.5267726999991282
mouse,enhancement_seconds,15,0.3413813933333586,0.301957499999844,0.10885994376709106,0.19495219999953406,0.5635172000002058
mouse,triposr_ready_seconds,15,0.5604442133330546,0.4678028999987873,0.233799345019193,0.2574081999991904,0.8928572999993776
mouse,total_preprocessing_seconds,15,5.037366700000226,4.916905200001565,1.0640313009963505,3.504013200001282,6.694160900000497
bottle,background_removal_seconds,15,2.0616317133333117,2.2160731999993004,0.24702880990478793,1.752659499999936,2.295476100000087
bottle,cropping_seconds,15,1.5053770066665797,1.7181349000002228,0.2856818081648251,1.1512905999989016,1.7533194000006915
bottle,padding_seconds,15,1.4455035466668051,1.6391285999998217,0.2668046984521289,1.096871600000668,1.6762302999995882
bottle,enhancement_seconds,15,0.43082052666674525,0.4586734999993496,0.050865784536075195,0.342431500001112,0.48660820000077365
bottle,triposr_ready_seconds,15,0.7222768933336435,0.6901127000000997,0.07196322059649267,0.6293733000002248,0.8465753000000404
bottle,total_preprocessing_seconds,15,6.165622953333393,6.723559500000192,0.8335721785479466,5.014917000000423,6.917471500000829
shoe,background_removal_seconds,15,2.324220960000093,2.210898900000757,0.5504078704559788,1.636415200000556,3.215852700001051
shoe,cropping_seconds,15,1.822985793333161,1.7987513000007311,0.652970364564453,1.0318791999998211,2.842525599999135
shoe,padding_seconds,15,1.859640559999995,1.971130699999776,0.6882386327000779,0.9932945999989897,2.842221900000368
shoe,enhancement_seconds,15,0.5840175866665959,0.644993699999759,0.20232168746674006,0.3221962000006897,0.8377163999994082
shoe,triposr_ready_seconds,15,1.084570199999871,1.2575792000006913,0.42812425872407917,0.5211937999993097,1.535520399998859
shoe,total_preprocessing_seconds,15,7.675449713333364,8.23085489999903,2.4517571666233855,4.531922000000122,11.148117400000046
